position_id,account_id,order_id,client_id,mt5_ticket,symbol,direction,open_price,current_price,lot,sl,tp,float_profit,trail_state,open_time,snapshot_time,updated_at,status
154,1,,,352866297,XAUUSD,SELL,4005.15000,4005.04000,0.01,4005.15000,3996.80000,0.11,"{""sl_history"": [{""sl"": 4009.91, ""tier"": ""tier1"", ""time"": ""2026-07-13T22:19:32Z"", ""reason"": ""breakeven""}, {""sl"": 4008.87, ""tier"": ""tier1"", ""time"": ""2026-07-13T22:24:23Z"", ""reason"": ""breakeven""}, {""sl"": 4005.15, ""tier"": ""tier1"", ""time"": ""2026-07-13T22:30:17Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-13T22:35:14Z""}",2026-07-14 01:20:07+00,2026-07-13 22:35:14.419381+00,2026-07-14 05:54:05.095061+00,closed
150,1,,,352561972,XAUUSD,SELL,4016.71000,3994.82000,0.01,4029.41000,3994.40000,21.89,"{""sl_history"": [{""sl"": 4029.41, ""tier"": ""tier1"", ""time"": ""2026-07-13T15:29:26Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-13T16:32:47Z""}",2026-07-13 18:30:03+00,2026-07-13 16:32:47.65547+00,2026-07-14 05:54:05.095061+00,closed
152,1,,,352864580,XAUUSD,BUY,4004.46000,4004.91000,0.01,4004.46000,4013.47000,0.45,"{""sl_history"": [{""sl"": 3999.34, ""tier"": ""tier1"", ""time"": ""2026-07-13T22:14:25Z"", ""reason"": ""breakeven""}, {""sl"": 4000.39, ""tier"": ""tier1"", ""time"": ""2026-07-13T22:18:12Z"", ""reason"": ""breakeven""}, {""sl"": 4004.46, ""tier"": ""tier1"", ""time"": ""2026-07-13T22:18:29Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-13T22:20:42Z""}",2026-07-14 01:15:05+00,2026-07-13 22:20:42.22645+00,2026-07-14 05:54:05.095061+00,closed
146,1,,,352314532,XAUUSD,BUY,4050.79000,4041.06000,0.01,4040.06000,4069.37000,-9.73,"{""sl_history"": [{""sl"": 4040.06, ""tier"": ""tier1"", ""time"": ""2026-07-13T13:54:28Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-13T13:59:56Z""}",2026-07-13 16:55:05+00,2026-07-13 13:59:56.697603+00,2026-07-14 05:54:05.095061+00,closed
156,1,,,352868786,XAUUSD,BUY,4004.73000,4000.84000,0.01,4000.42000,4012.27000,-3.89,"{""sl_history"": [{""sl"": 4000.42, ""tier"": ""tier1"", ""time"": ""2026-07-13T22:29:26Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-13T23:00:48Z""}",2026-07-14 01:30:03+00,2026-07-13 23:00:48.808298+00,2026-07-14 05:54:05.095061+00,closed
158,1,,,352874697,XAUUSD,BUY,4003.90000,4000.84000,0.02,4000.54000,4011.11000,-6.12,"{""sl_history"": [{""sl"": 3999.78, ""tier"": ""tier1"", ""time"": ""2026-07-13T22:44:30Z"", ""reason"": ""breakeven""}, {""sl"": 4000.54, ""tier"": ""tier1"", ""time"": ""2026-07-13T22:47:12Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-13T23:00:48Z""}",2026-07-14 01:45:10+00,2026-07-13 23:00:48.811832+00,2026-07-14 05:54:05.095061+00,closed
160,1,,,353046646,XAUUSD,SELL,3995.71000,4007.69000,0.01,4009.10000,3972.36000,-11.98,"{""sl_history"": [{""sl"": 4009.1, ""tier"": ""tier1"", ""time"": ""2026-07-14T01:14:28Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T01:57:33Z""}",2026-07-14 04:15:06+00,2026-07-14 01:57:33.087326+00,2026-07-14 05:54:05.095061+00,closed
162,1,,,353077462,XAUUSD,SELL,3996.58000,4007.69000,0.01,4009.05000,3974.85000,-11.11,"{""sl_history"": [{""sl"": 4009.05, ""tier"": ""tier1"", ""time"": ""2026-07-14T01:39:30Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T01:57:33Z""}",2026-07-14 04:40:11+00,2026-07-14 01:57:33.098142+00,2026-07-14 05:54:05.095061+00,closed
313,1,,,353379918,XAUUSD,SELL,4026.58000,4025.49000,0.01,4026.24000,4014.33000,1.09,"{""sl_history"": [{""sl"": 4034.13, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:08Z"", ""reason"": ""breakeven""}, {""sl"": 4026.58, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}, {""sl"": 4026.24, ""tier"": ""tier2"", ""time"": ""2026-07-14T07:41:32Z"", ""reason"": ""lock_profit""}], ""current_tier"": ""tier2"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:39:45+00,2026-07-14 07:41:32.541152+00,2026-07-14 08:01:07.52551+00,closed
314,1,,,353379956,XAUUSD,SELL,4026.68000,4025.49000,0.01,4026.24000,4013.98000,1.19,"{""sl_history"": [{""sl"": 4033.78, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:08Z"", ""reason"": ""breakeven""}, {""sl"": 4026.68, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}, {""sl"": 4026.24, ""tier"": ""tier2"", ""time"": ""2026-07-14T07:41:32Z"", ""reason"": ""lock_profit""}], ""current_tier"": ""tier2"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:39:45+00,2026-07-14 07:41:32.544917+00,2026-07-14 08:01:07.52551+00,closed
315,1,,,353379991,XAUUSD,SELL,4026.67000,4025.49000,0.01,4026.23000,4014.08000,1.18,"{""sl_history"": [{""sl"": 4033.88, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:39:08Z"", ""reason"": ""breakeven""}, {""sl"": 4026.67, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:41:11Z"", ""reason"": ""breakeven""}, {""sl"": 4026.23, ""tier"": ""tier2"", ""time"": ""2026-07-14T07:41:32Z"", ""reason"": ""lock_profit""}], ""current_tier"": ""tier2"", ""last_sl_move_time"": ""2026-07-14T07:41:32Z""}",2026-07-14 10:39:46+00,2026-07-14 07:41:32.548732+00,2026-07-14 08:01:07.52551+00,closed
844,1,,,353851395,XAUUSD,BUY,4083.87000,4087.18000,0.01,4086.62000,4114.05000,3.31,"{""sl_history"": [{""sl"": 4062.02, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:42Z"", ""reason"": ""breakeven""}, {""sl"": 4062.79, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:47Z"", ""reason"": ""breakeven""}, {""sl"": 4062.8, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:53Z"", ""reason"": ""breakeven""}, {""sl"": 4063.38, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:58Z"", ""reason"": ""breakeven""}, {""sl"": 4064.19, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:05:03Z"", ""reason"": ""breakeven""}, {""sl"": 4063.7, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:05:25Z"", ""reason"": ""breakeven""}, {""sl"": 4086.31, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:03:58Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.32, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:05:41Z"", ""reason"": ""trail""}, {""sl"": 4086.35, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:05:48Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.38, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:05:54Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.4, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:06:20Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.41, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:06:39Z"", ""reason"": ""trail""}, {""sl"": 4086.43, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:06:46Z"", ""reason"": ""trail""}, {""sl"": 4086.44, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:06:52Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.45, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:06:59Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.46, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:07:41Z"", ""reason"": ""trail""}, {""sl"": 4086.47, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:07:47Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.49, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:07:52Z"", ""reason"": ""trail""}, {""sl"": 4086.52, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:07:59Z"", ""reason"": ""trail""}, {""sl"": 4086.62, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:08:05Z"", ""reason"": ""trail""}], ""current_tier"": ""tier3"", ""last_sl_move_time"": ""2026-07-14T15:17:49Z""}",2026-07-14 16:50:05+00,2026-07-14 15:17:49.95309+00,2026-07-14 16:39:54.819067+00,closed
180,1,,,353349887,XAUUSD,SELL,4025.87000,4028.12000,0.01,4028.20000,4015.01000,-2.25,"{""sl_history"": [{""sl"": 4032.05, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:04:26Z"", ""reason"": ""breakeven""}, {""sl"": 4028.37, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:06:46Z"", ""reason"": ""breakeven""}, {""sl"": 4028.2, ""tier"": ""tier1"", ""time"": ""2026-07-14T07:06:52Z"", ""reason"": ""breakeven""}], ""current_tier"": ""tier1"", ""last_sl_move_time"": ""2026-07-14T07:07:30Z""}",2026-07-14 10:05:06+00,2026-07-14 07:07:30.293107+00,2026-07-14 08:01:07.52551+00,closed
