order_id,signal_id,account_id,client_id,mt5_ticket,symbol,direction,open_price,close_price,lot,sl,tp,commission,swap,profit,order_status,open_time,close_time,close_reason,trail_state,error_code,error_msg,created_at,updated_at
2,,6,,355666692,XAUUSD,BUY,4037.91000,4030.80000,0.01,4029.85000,4054.12000,0.00,0.00,-7.11,1,2026-07-16 04:25:04+00,2026-07-16 02:15:27.158868+00,sync_reconcile,,0,,2026-07-16 02:15:27.159721+00,2026-07-16 02:15:27.159721+00
3,,6,,355678611,XAUUSD,SELL,4041.48000,4033.95000,0.01,4034.29000,4024.75000,0.00,0.00,7.53,1,2026-07-16 04:35:04+00,2026-07-16 02:21:43.272987+00,sync_reconcile,,0,,2026-07-16 02:21:43.276984+00,2026-07-16 02:21:43.276984+00
5,,6,,355687919,XAUUSD,SELL,4042.19000,4033.95000,0.01,4034.27000,4024.61000,0.00,0.00,8.24,1,2026-07-16 04:45:06+00,2026-07-16 02:21:43.272987+00,sync_reconcile,,0,,2026-07-16 02:21:43.287375+00,2026-07-16 02:21:43.287375+00
7,,6,,355726703,XAUUSD,SELL,4031.96000,4031.01000,0.01,4031.33000,4020.54000,0.00,0.00,0.95,1,2026-07-16 05:35:02+00,2026-07-16 02:55:48.244298+00,sync_reconcile,,0,,2026-07-16 02:55:48.247656+00,2026-07-16 02:55:48.247656+00
10,,6,,355750354,XAUUSD,SELL,4030.74000,4036.20000,0.01,4036.37000,4019.43000,0.00,0.00,-5.46,1,2026-07-16 06:05:03+00,2026-07-16 03:42:25.072297+00,sync_reconcile,,0,,2026-07-16 03:42:25.074916+00,2026-07-16 03:42:25.074916+00
12,,6,,356053916,XAUUSD,BUY,4029.71000,4026.06000,0.01,4025.70000,4037.28000,0.00,0.00,-3.65,1,2026-07-16 14:00:05+00,2026-07-16 11:15:25.303185+00,sync_reconcile,,0,,2026-07-16 11:15:25.305115+00,2026-07-16 11:15:25.305115+00
13,,6,,356064343,XAUUSD,BUY,4028.05000,4024.57000,0.01,4024.40000,4035.36000,0.00,0.00,-3.48,1,2026-07-16 14:15:05+00,2026-07-16 11:24:45.548226+00,sync_reconcile,,0,,2026-07-16 11:24:45.551188+00,2026-07-16 11:24:45.551188+00
14,,6,,356070178,XAUUSD,BUY,4025.26000,4023.94000,0.01,4021.49000,4032.81000,0.00,0.00,-1.32,1,2026-07-16 14:25:10+00,2026-07-16 11:24:58.143207+00,sync_reconcile,,0,,2026-07-16 11:24:58.145253+00,2026-07-16 11:24:58.145253+00
15,,6,,356078920,XAUUSD,BUY,4024.68000,4032.71000,0.02,4029.44000,4032.78000,0.00,0.00,16.06,1,2026-07-16 14:30:05+00,2026-07-16 11:41:52.206378+00,sync_reconcile,,0,,2026-07-16 11:41:52.208479+00,2026-07-16 11:41:52.208479+00
16,,6,,356093062,XAUUSD,SELL,4034.95000,4039.81000,0.01,4039.83000,4025.17000,0.00,0.00,-4.86,1,2026-07-16 14:45:01+00,2026-07-16 11:46:17.383875+00,sync_reconcile,,0,,2026-07-16 11:46:17.385971+00,2026-07-16 11:46:17.385971+00
