position_id,account_id,order_id,client_id,mt5_ticket,symbol,direction,open_price,current_price,lot,sl,tp,float_profit,trail_state,open_time,snapshot_time,updated_at,status
839,6,,,,XAUUSD,BUY,4083.22000,4083.22000,0.01,4056.61000,4133.69250,0.00,,2026-07-14 13:29:22.22723+00,2026-07-14 13:29:22.22723+00,2026-07-14 13:29:22.22723+00,open
841,6,,,,XAUUSD,BUY,4084.75000,4084.75000,0.01,4066.34571,4120.12000,0.00,,2026-07-14 13:39:22.346956+00,2026-07-14 13:39:22.346956+00,2026-07-14 13:39:22.346956+00,open
843,6,,,,XAUUSD,BUY,4083.11000,4083.11000,0.01,4066.81286,4114.05000,0.00,,2026-07-14 13:49:21.756178+00,2026-07-14 13:49:21.756178+00,2026-07-14 13:49:21.756178+00,open
844,1,,,353851395,XAUUSD,BUY,4083.87000,4087.18000,0.01,4086.62000,4114.05000,3.31,"{""sl_history"": [{""sl"": 4062.02, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:42Z"", ""reason"": ""breakeven""}, {""sl"": 4062.79, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:47Z"", ""reason"": ""breakeven""}, {""sl"": 4062.8, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:53Z"", ""reason"": ""breakeven""}, {""sl"": 4063.38, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:58Z"", ""reason"": ""breakeven""}, {""sl"": 4064.19, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:05:03Z"", ""reason"": ""breakeven""}, {""sl"": 4063.7, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:05:25Z"", ""reason"": ""breakeven""}, {""sl"": 4086.31, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:03:58Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.32, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:05:41Z"", ""reason"": ""trail""}, {""sl"": 4086.35, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:05:48Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.38, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:05:54Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.4, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:06:20Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.41, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:06:39Z"", ""reason"": ""trail""}, {""sl"": 4086.43, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:06:46Z"", ""reason"": ""trail""}, {""sl"": 4086.44, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:06:52Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.45, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:06:59Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.46, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:07:41Z"", ""reason"": ""trail""}, {""sl"": 4086.47, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:07:47Z"", ""reason"": ""lock_profit""}, {""sl"": 4086.49, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:07:52Z"", ""reason"": ""trail""}, {""sl"": 4086.52, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:07:59Z"", ""reason"": ""trail""}, {""sl"": 4086.62, ""tier"": ""tier3"", ""time"": ""2026-07-14T15:08:05Z"", ""reason"": ""trail""}], ""current_tier"": ""tier3"", ""last_sl_move_time"": ""2026-07-14T15:17:49Z""}",2026-07-14 16:50:05+00,2026-07-14 15:17:49.95309+00,2026-07-14 15:17:49.95309+00,open
845,6,,,,XAUUSD,BUY,4075.74000,4075.74000,0.01,4064.23321,4103.82250,0.00,,2026-07-14 13:59:26.822011+00,2026-07-14 13:59:26.822011+00,2026-07-14 13:59:26.822011+00,open
840,1,,,353808477,XAUUSD,BUY,4084.27000,4088.03000,0.01,4086.71000,4133.69000,3.76,"{""sl_history"": [{""sl"": 4056.61, ""tier"": ""tier1"", ""time"": ""2026-07-14T13:29:25Z"", ""reason"": ""breakeven""}, {""sl"": 4065.33, ""tier"": ""tier1"", ""time"": ""2026-07-14T13:39:19Z"", ""reason"": ""breakeven""}, {""sl"": 4066.22, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:01:21Z"", ""reason"": ""breakeven""}, {""sl"": 4062.34, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:03:55Z"", ""reason"": ""breakeven""}, {""sl"": 4062.44, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:00Z"", ""reason"": ""breakeven""}, {""sl"": 4062.43, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:05Z"", ""reason"": ""breakeven""}, {""sl"": 4061.93, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:11Z"", ""reason"": ""breakeven""}, {""sl"": 4061.77, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:16Z"", ""reason"": ""breakeven""}, {""sl"": 4062.74, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:21Z"", ""reason"": ""breakeven""}, {""sl"": 4061.95, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:27Z"", ""reason"": ""breakeven""}, {""sl"": 4061.54, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:32Z"", ""reason"": ""breakeven""}, {""sl"": 4061.55, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:37Z"", ""reason"": ""breakeven""}, {""sl"": 4061.92, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:42Z"", ""reason"": ""breakeven""}, {""sl"": 4063.16, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:47Z"", ""reason"": ""breakeven""}, {""sl"": 4062.86, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:53Z"", ""reason"": ""breakeven""}, {""sl"": 4063.25, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:58Z"", ""reason"": ""breakeven""}, {""sl"": 4064.15, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:05:03Z"", ""reason"": ""breakeven""}, {""sl"": 4063.63, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:05:25Z"", ""reason"": ""breakeven""}, {""sl"": 4086.71, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:03:58Z"", ""reason"": ""lock_profit""}], ""current_tier"": ""tier3"", ""last_sl_move_time"": ""2026-07-14T15:04:32Z""}",2026-07-14 16:30:05+00,2026-07-14 15:04:32.085644+00,2026-07-14 15:04:32.085644+00,open
846,1,,,353865046,XAUUSD,BUY,4076.17000,4077.58000,0.01,4077.41000,4103.82000,1.41,"{""sl_history"": [{""sl"": 4064.23, ""tier"": ""tier1"", ""time"": ""2026-07-14T13:59:27Z"", ""reason"": ""breakeven""}, {""sl"": 4066.21, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:01:21Z"", ""reason"": ""breakeven""}, {""sl"": 4062.19, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:03:55Z"", ""reason"": ""breakeven""}, {""sl"": 4062.33, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:00Z"", ""reason"": ""breakeven""}, {""sl"": 4062.5, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:06Z"", ""reason"": ""breakeven""}, {""sl"": 4061.84, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:11Z"", ""reason"": ""breakeven""}, {""sl"": 4061.54, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:16Z"", ""reason"": ""breakeven""}, {""sl"": 4062.26, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:21Z"", ""reason"": ""breakeven""}, {""sl"": 4061.88, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:27Z"", ""reason"": ""breakeven""}, {""sl"": 4061.74, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:32Z"", ""reason"": ""breakeven""}, {""sl"": 4061.54, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:37Z"", ""reason"": ""breakeven""}, {""sl"": 4061.98, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:42Z"", ""reason"": ""breakeven""}, {""sl"": 4062.64, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:47Z"", ""reason"": ""breakeven""}, {""sl"": 4062.76, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:53Z"", ""reason"": ""breakeven""}, {""sl"": 4063.42, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:58Z"", ""reason"": ""breakeven""}, {""sl"": 4064.2, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:05:03Z"", ""reason"": ""breakeven""}, {""sl"": 4077.41, ""tier"": ""tier2"", ""time"": ""2026-07-14T14:07:12Z"", ""reason"": ""lock_profit""}], ""current_tier"": ""tier2"", ""last_sl_move_time"": ""2026-07-14T14:10:20Z""}",2026-07-14 17:00:10+00,2026-07-14 14:10:20.853818+00,2026-07-14 14:10:20.853818+00,open
842,1,,,353831009,XAUUSD,BUY,4086.24000,4088.05000,0.01,4087.46000,4120.12000,1.81,"{""sl_history"": [{""sl"": 4066.35, ""tier"": ""tier1"", ""time"": ""2026-07-14T13:39:25Z"", ""reason"": ""breakeven""}, {""sl"": 4062.27, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:03:55Z"", ""reason"": ""breakeven""}, {""sl"": 4062.4, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:00Z"", ""reason"": ""breakeven""}, {""sl"": 4062.59, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:05Z"", ""reason"": ""breakeven""}, {""sl"": 4061.87, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:11Z"", ""reason"": ""breakeven""}, {""sl"": 4061.63, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:16Z"", ""reason"": ""breakeven""}, {""sl"": 4062.71, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:21Z"", ""reason"": ""breakeven""}, {""sl"": 4061.97, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:27Z"", ""reason"": ""breakeven""}, {""sl"": 4061.72, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:32Z"", ""reason"": ""breakeven""}, {""sl"": 4061.45, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:37Z"", ""reason"": ""breakeven""}, {""sl"": 4062.04, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:42Z"", ""reason"": ""breakeven""}, {""sl"": 4062.92, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:47Z"", ""reason"": ""breakeven""}, {""sl"": 4062.88, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:53Z"", ""reason"": ""breakeven""}, {""sl"": 4063.48, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:04:58Z"", ""reason"": ""breakeven""}, {""sl"": 4064.14, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:05:03Z"", ""reason"": ""breakeven""}, {""sl"": 4063.65, ""tier"": ""tier1"", ""time"": ""2026-07-14T14:05:25Z"", ""reason"": ""breakeven""}, {""sl"": 4087.46, ""tier"": ""tier2"", ""time"": ""2026-07-14T15:03:58Z"", ""reason"": ""lock_profit""}], ""current_tier"": ""tier2"", ""last_sl_move_time"": ""2026-07-14T15:04:19Z""}",2026-07-14 16:40:05+00,2026-07-14 15:04:19.444723+00,2026-07-14 15:04:19.444723+00,open
847,6,,,,XAUUSD,BUY,4079.08000,4079.08000,0.01,4068.31750,4106.29250,0.00,,2026-07-14 14:09:22.318041+00,2026-07-14 14:09:22.318041+00,2026-07-14 14:09:22.318041+00,open
790,1,,,353536034,XAUUSD,SELL,4020.92000,4019.62000,0.01,4019.71000,4010.00000,1.30,"{""sl_history"": [{""sl"": 4027.37, ""tier"": ""tier1"", ""time"": ""2026-07-14T10:49:27Z"", ""reason"": ""breakeven""}, {""sl"": 4025.96, ""tier"": ""tier1"", ""time"": ""2026-07-14T10:54:28Z"", ""reason"": ""breakeven""}, {""sl"": 4020.92, ""tier"": ""tier1"", ""time"": ""2026-07-14T11:06:46Z"", ""reason"": ""breakeven""}, {""sl"": 4020.18, ""tier"": ""tier2"", ""time"": ""2026-07-14T11:06:52Z"", ""reason"": ""lock_profit""}, {""sl"": 4020.11, ""tier"": ""tier2"", ""time"": ""2026-07-14T11:06:57Z"", ""reason"": ""lock_profit""}, {""sl"": 4019.71, ""tier"": ""tier3"", ""time"": ""2026-07-14T11:07:08Z"", ""reason"": ""trail""}], ""current_tier"": ""tier3"", ""last_sl_move_time"": ""2026-07-14T11:07:25Z""}",2026-07-14 13:50:10+00,2026-07-14 11:07:25.440039+00,2026-07-14 11:07:25.440039+00,open
