position_id,account_id,order_id,client_id,mt5_ticket,symbol,direction,open_price,current_price,lot,sl,tp,float_profit,trail_state,open_time,snapshot_time,updated_at,status
142,6,,,,XAUUSD,SELL,4070.72000,4070.72000,0.02,,,0.00,,2026-07-13 05:38:03.819627+00,2026-07-13 05:38:03.819627+00,2026-07-13 10:50:19.723076+00,closed
143,6,,,,XAUUSD,SELL,4064.84000,4064.84000,0.01,4071.11214,4055.77714,0.00,,2026-07-13 08:04:30.006146+00,2026-07-13 08:04:30.006146+00,2026-07-13 10:50:19.723076+00,closed
144,6,,,,XAUUSD,SELL,4074.90000,4074.90000,0.02,4080.98393,4067.44143,0.00,,2026-07-13 08:19:27.151684+00,2026-07-13 08:19:27.151684+00,2026-07-13 10:50:19.723076+00,closed
145,6,,,,XAUUSD,BUY,4050.96000,4050.96000,0.01,4040.06286,4069.37000,0.00,,2026-07-13 13:54:25.543536+00,2026-07-13 13:54:25.543536+00,2026-07-14 05:54:05.095061+00,closed
149,6,,,,XAUUSD,SELL,4016.54000,4016.54000,0.01,4029.41429,3994.39500,0.00,,2026-07-13 15:29:23.243348+00,2026-07-13 15:29:23.243348+00,2026-07-14 05:54:05.095061+00,closed
175,6,,,,XAUUSD,NO_TRADE,4024.76000,4024.76000,0.01,4030.44857,4014.55750,0.00,,2026-07-14 06:49:23.953179+00,2026-07-14 06:49:23.953179+00,2026-07-14 08:01:07.52551+00,closed
151,6,,,,XAUUSD,BUY,4003.96000,4003.96000,0.01,3999.34429,4013.46750,0.00,,2026-07-13 22:14:24.986218+00,2026-07-13 22:14:24.986218+00,2026-07-14 05:54:05.095061+00,closed
303,6,,,,XAUUSD,NO_TRADE,4024.88000,4024.88000,0.01,4034.13143,4014.32750,0.00,,2026-07-14 07:39:02.51192+00,2026-07-14 07:39:02.51192+00,2026-07-14 08:01:07.52551+00,closed
157,6,,,,XAUUSD,BUY,4003.95000,4003.95000,0.02,3999.77857,4011.11250,0.00,,2026-07-13 22:44:29.753084+00,2026-07-13 22:44:29.753084+00,2026-07-14 05:54:05.095061+00,closed
304,6,,,,XAUUSD,NO_TRADE,4024.88000,4024.88000,0.01,4033.78143,4013.97750,0.00,,2026-07-14 07:39:02.78957+00,2026-07-14 07:39:02.78957+00,2026-07-14 08:01:07.52551+00,closed
305,6,,,,XAUUSD,NO_TRADE,4024.88000,4024.88000,0.01,4033.88143,4014.07750,0.00,,2026-07-14 07:39:03.038379+00,2026-07-14 07:39:03.038379+00,2026-07-14 08:01:07.52551+00,closed
306,6,,,,XAUUSD,NO_TRADE,4024.88000,4024.88000,0.01,4033.92143,4014.11750,0.00,,2026-07-14 07:39:03.284992+00,2026-07-14 07:39:03.284992+00,2026-07-14 08:01:07.52551+00,closed
307,6,,,,XAUUSD,NO_TRADE,4024.88000,4024.88000,0.01,4033.94143,4014.13750,0.00,,2026-07-14 07:39:03.545729+00,2026-07-14 07:39:03.545729+00,2026-07-14 08:01:07.52551+00,closed
153,6,,,,XAUUSD,SELL,4004.91000,4004.91000,0.01,4009.90714,3996.79750,0.00,,2026-07-13 22:19:26.813049+00,2026-07-13 22:19:26.813049+00,2026-07-14 05:54:05.095061+00,closed
155,6,,,,XAUUSD,BUY,4004.26000,4004.26000,0.01,4000.42286,4012.26750,0.00,,2026-07-13 22:29:23.184553+00,2026-07-13 22:29:23.184553+00,2026-07-14 05:54:05.095061+00,closed
